범죄분류,불교,기독교,천주교,원불교,천도교,기타 종교,종교무,미상
전파법,31,51,9,0,0,2,139,403
정보통신망이용촉진 및 정보보호 등에 관한법률,571,1036,304,8,8,95,4613,5629
조세범 처벌법,348,325,100,2,4,36,1104,2844
주민등록법,144,254,57,2,1,31,1156,433
주차장법,57,55,31,0,0,5,201,96
주택법,199,387,102,0,0,24,862,641
직업안정법,102,79,15,0,0,23,439,135
집회 및 시위에 관한법률,24,34,12,0,0,17,278,113
청소년보호법,1507,1285,447,3,8,163,5965,2220
총포·도검·화약류등의 안전관리에 관한법률,4,6,2,0,0,0,32,11
최저임금법,25,13,6,0,0,1,35,310
축산물위생관리법,196,136,36,1,0,37,665,475
출입국관리법,479,251,87,3,0,184,1454,712
통신비밀보호법,16,23,5,0,0,6,78,114
특가법(도주차량),394,435,119,1,1,135,3026,1517
특허법,3,4,6,0,0,2,56,282
폐기물관리법,277,172,47,0,0,30,711,781
풍속영업의 규제에 관한법률,20,25,8,0,0,13,188,47
하천법,50,27,5,0,0,3,127,73
학교보건법,10,6,9,0,0,2,37,18
학원의설립운영및과외교습에관한법률,26,157,45,0,0,10,267,55
화물자동차운수사업법,307,365,104,2,3,62,1523,406
화재로 인한 재해보상과 보험가입에 관한법률,0,0,0,0,0,0,0,0
화재예방·소방시설설치유지 및 안전관리에 관한법률,5,2,0,0,0,0,3,29
화학물질관리법,36,102,18,0,0,7,326,355
기타 특별법,6634,5620,1837,48,29,1034,26658,13309
